,Segment_ID,Year,Route,Latitude,Longitude,GPS_Valid,Postmile_Distance,Ahead_AADT,Ahead_Peak_Hourly,Ahead_Peak_Monthly,Ahead_Collisions,Cluster
164,23455,2014,1,36.88383187,-121.7722597,True,0.716,37000,3400,43500,5,1
165,23456,2014,1,36.89434529,-121.77407859999998,True,1.5530000000000002,40000,3700,45000,3,1
166,23457,2014,1,36.91446594,-121.7867925,True,0.4139999999999997,31000,2900,35000,0,0
167,23458,2014,1,36.9197315,-121.7901886,True,0.4980000000000002,53000,5000,56000,5,1
168,23459,2014,1,36.9246553,-121.7969251,True,0.8920000000000003,61000,5800,69000,3,1
169,23460,2014,1,36.93157028,-121.8103973,True,2.615,60000,5700,68000,5,1
170,23461,2014,1,36.94982738,-121.85098810000001,True,0.9750000000000004,60000,5700,67000,3,1
171,23462,2014,1,36.9605997,-121.8622896,True,0.6920000000000002,68000,6100,75000,9,1
172,23463,2014,1,36.97044453,-121.87310523200001,True,0.7979999999999999,78000,7000,82000,11,1
173,23464,2014,1,36.97511731,-121.8863014,True,1.3819999999999997,82000,7200,86000,36,3
174,23465,2014,1,36.97806634,-121.91033590000002,True,1.552999999999999,84000,7000,90000,17,1
175,23466,2014,1,36.98406488,-121.93687390000001,True,1.104000000000001,88000,5900,91000,19,1
176,23467,2014,1,36.9832913023,-121.95683871600001,True,0.4279999999999991,97000,6400,100000,6,1
177,23468,2014,1,36.98286186,-121.9644876,True,1.2440000000000015,88000,5900,90000,9,1
178,23469,2014,1,36.98716367,-121.9862837,True,0.9579999999999984,94000,6300,97000,9,1
179,23470,2014,1,36.98837463,-122.00337320000001,True,0.8060000000000009,85000,5900,88000,7,1
180,23471,2014,1,36.9891216368,-122.01789138,True,0.1930000000000014,86000,6300,90000,6,1
181,23472,2014,1,36.98993118,-122.0218645,True,0.7389999999999972,61000,4950,63000,26,3
182,23473,2014,1,36.98449532,-122.029795,True,0.679000000000002,47000,4300,49000,9,1
183,23474,2014,1,36.97576641,-122.0330689,True,0.7609999999999992,55000,4900,57000,3,1
184,23475,2014,1,36.96668513,-122.0402674,True,0.6900000000000013,26500,2450,28500,11,0
185,23476,2014,1,36.96057714,-122.0493952,True,0.9209999999999994,15700,2450,19300,7,0
